NODE_ID,NODE_SLOT,NODE_PORT,TENANT_NAME,ENDPOINT_NAME,ENDPOINT_SLOT,ENDPOINT_PORT,ENDPOINT_MAKE,ENDPOINT_MODEL,ENDPOINT_OS,ENDPOINT_INTERFACE_TYPE,DOMAIN_TYPE,BOND_ENABLED,BOND_TYPE
1101,1,1,SS,DC1NTNXAHV01,MGMT,1,NTNX,8170-G9,AHV,ILO,physical,FALSE,unspecified
1101,1,2,SS,DC1NTNXAHV03,MGMT,1,NTNX,8170-G9,AHV,ILO,physical,FALSE,unspecified
1101,1,3,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,4,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,5,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,6,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,7,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,8,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,9,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,10,global,DC1NTNXAHV01,ONBOARD,1,NTNX,8170-G9,AHV,NTWK-SVCS,external,TRUE,vpc
1101,1,11,global,DC1NTNXAHV02,ONBOARD,2,NTNX,8170-G9,AHV,NTWK-SVCS,external,TRUE,vpc
1101,1,12,global,DC1NTNXAHV03,ONBOARD,1,NTNX,8170-G9,AHV,NTWK-SVCS,external,TRUE,vpc
1101,1,13,global,DC1NTNXAHV04,ONBOARD,2,NTNX,8170-G9,AHV,NTWK-SVCS,external,TRUE,vpc
1101,1,14,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,15,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,16,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,17,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,18,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,19,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,20,global,DC1NTNXAHV01,PCIE1,1,NTNX,8170-G9,AHV,APP-SVCS,physical,TRUE,vpc
1101,1,21,global,DC1NTNXAHV02,PCIE1,2,NTNX,8170-G9,AHV,APP-SVCS,physical,TRUE,vpc
1101,1,22,global,DC1NTNXAHV03,PCIE1,1,NTNX,8170-G9,AHV,APP-SVCS,physical,TRUE,vpc
1101,1,23,global,DC1NTNXAHV04,PCIE1,2,NTNX,8170-G9,AHV,APP-SVCS,physical,TRUE,vpc
1101,1,24,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,25,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,26,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,27,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,28,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,29,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,30,SS,DC1NTNXAHV01,PCIE2,1,NTNX,8170-G9,AHV,CLU-OPS,physical,TRUE,vpc
1101,1,31,SS,DC1NTNXAHV02,PCIE2,2,NTNX,8170-G9,AHV,CLU-OPS,physical,TRUE,vpc
1101,1,32,SS,DC1NTNXAHV03,PCIE2,1,NTNX,8170-G9,AHV,CLU-OPS,physical,TRUE,vpc
1101,1,33,SS,DC1NTNXAHV04,PCIE2,2,NTNX,8170-G9,AHV,CLU-OPS,physical,TRUE,vpc
1101,1,34,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,35,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,36,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,37,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,38,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,39,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,40,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,41,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,42,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
1101,1,43,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
