TENANT_NAME,ZONE_NAME,VRF_NAME,NEXT_HOP_TYPE,ALLOWED_PREFIX,ALLOWED_CIDR,SCOPE,PEER_GROUP
SS,OUT,DEFAULT_VRF,CORE,0.0.0.0,0,import-rtctrl;import-security,unspecified
SS,OUT,DEFAULT_VRF,CORE,30.0.0.0,16,export-rtctrl,LAN_CORE_FW
SS,OUT,DEFAULT_VRF,CORE,30.1.0.0,16,export-rtctrl,LAN_CORE_FW
SS,OUT,DEFAULT_VRF,CORE,30.2.0.0,16,export-rtctrl,LAN_CORE_FW
SS,SS,DEFAULT_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
SS,BU1,DEFAULT_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
SS,BU2,DEFAULT_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
SS,ADC,ADC_VRF,F5,0.0.0.0,0,import-rtctrl,unspecified
SS,MGMT,MGMT_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
SS,STORAGE,STORAGE_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU1,ADC,ADC_VRF,F5,0.0.0.0,0,import-rtctrl,unspecified
BU1,FRONTEND,FRONTEND_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU1,MIDTIER,MIDTIER_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU1,BACKEND,BACKEND_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU1,MISC,MISC_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU2,ADC,ADC_VRF,F5,0.0.0.0,0,import-rtctrl,unspecified
BU2,FRONTEND,FRONTEND_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU2,MIDTIER,MIDTIER_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU2,BACKEND,BACKEND_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
BU2,MISC,MISC_VRF,PAN,0.0.0.0,0,import-rtctrl,unspecified
