TENANT_NAME,ENDPOINT_NAME,ENDPOINT_MAKE,ENDPOINT_MODEL,ENDPOINT_OS,ENDPOINT_INTERFACE_TYPE,DOMAIN_TYPE,BOND_TYPE,LACP_POLICY_NAME,CDP_POLICY_NAME,LLDP_POLICY_NAME,L2_POLICY_NAME,STP_POLICY_NAME,MCP_POLICY_NAME,LINK_LEVEL_POLICY_NAME
SS,DC1NTNXAHV01,NTNX,8170-G9,AHV,CLU-OPS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV01,NTNX,8170-G9,AHV,APP-SVCS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV01,NTNX,8170-G9,AHV,NTWK-SVCS,external,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
SS,DC1NTNXAHV02,NTNX,8170-G9,AHV,CLU-OPS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV02,NTNX,8170-G9,AHV,APP-SVCS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV02,NTNX,8170-G9,AHV,NTWK-SVCS,external,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
SS,DC1NTNXAHV03,NTNX,8170-G9,AHV,CLU-OPS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV03,NTNX,8170-G9,AHV,APP-SVCS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV03,NTNX,8170-G9,AHV,NTWK-SVCS,external,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
SS,DC1NTNXAHV04,NTNX,8170-G9,AHV,CLU-OPS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV04,NTNX,8170-G9,AHV,APP-SVCS,physical,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
GLOBAL,DC1NTNXAHV04,NTNX,8170-G9,AHV,NTWK-SVCS,external,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
SS,DC1LANCORE,CISCO,NX9508,NXOS,VPC1101,external,vpc,LACP_ACTIVE_FULL,CDP_DISABLED,LLDP_ENABLED,VLAN_LOCAL,STP_NATIVE,MCP_ENABLED,AUTO-ON_AUTO
