POLICY_NAME,AUTONEG,SPEED
AUTO-OFF_10G,OFF,10G
AUTO-OFF_INHERIT,OFF,INHERIT
AUTO-OFF_100M,OFF,100M
AUTO-OFF_40G,OFF,40G
AUTO-OFF_100G,OFF,100G
AUTO-OFF_400G,OFF,400G
AUTO-ON_10G,ON,10G
AUTO-ON-ENFORCE_10G,ON-ENFORCE,10G
AUTO-OFF_1G,OFF,1G
AUTO-ON_1G,ON,1G
AUTO-ON_INHERIT,ON,INHERIT
AUTO-ON_100M,ON,100M
AUTO-ON_40G,ON,40G
AUTO-ON_100G,ON,100G
AUTO-ON_400G,ON,400G
AUTO-ON-ENFORCE_1G,ON-ENFORCE,1G
AUTO-OFF_25G,OFF,25G
AUTO-ON_25G,ON,25G
AUTO-ON-ENFORCE_25G,ON-ENFORCE,25G
AUTO-ON-ENFORCE_INHERIT,ON-ENFORCE,INHERIT
AUTO-ON-ENFORCE_100M,ON-ENFORCE,100M
AUTO-ON-ENFORCE_40G,ON-ENFORCE,40G
AUTO-ON-ENFORCE_100G,ON-ENFORCE,100G
AUTO-ON-ENFORCE_400G,ON-ENFORCE,400G
AUTO-OFF_AUTO,OFF,AUTO
AUTO-ON_AUTO,ON,AUTO
AUTO-ON-ENFORCE_AUTO,ON-ENFORCE,AUTO
