TENANT_NAME,ZONE_NAME,VRF_NAME,NEXT_HOP_TYPE,ODD_NODE_ID,EVEN_NODE_ID,PRIO
SS,OUT,DEFAULT_VRF,CORE,1101,1102,unspecified
SS,SS,DEFAULT_VRF,PAN,1101,1102,unspecified
SS,BU1,DEFAULT_VRF,PAN,1101,1102,unspecified
SS,BU2,DEFAULT_VRF,PAN,1101,1102,unspecified
SS,ADC,ADC_VRF,F5,1101,1102,unspecified
SS,MGMT,MGMT_VRF,PAN,1101,1102,unspecified
SS,STORAGE,STORAGE_VRF,PAN,1101,1102,unspecified
BU1,ADC,ADC_VRF,F5,1101,1102,unspecified
BU1,FRONTEND,FRONTEND_VRF,PAN,1101,1102,unspecified
BU1,MIDTIER,MIDTIER_VRF,PAN,1101,1102,unspecified
BU1,BACKEND,BACKEND_VRF,PAN,1101,1102,unspecified
BU1,MISC,MISC_VRF,PAN,1101,1102,unspecified
BU2,ADC,ADC_VRF,F5,1101,1102,unspecified
BU2,FRONTEND,FRONTEND_VRF,PAN,1101,1102,unspecified
BU2,MIDTIER,MIDTIER_VRF,PAN,1101,1102,unspecified
BU2,BACKEND,BACKEND_VRF,PAN,1101,1102,unspecified
BU2,MISC,MISC_VRF,PAN,1101,1102,unspecified
