NETWORK_PREFIX,NETWORK_CIDR,NETWORK_IP,HOSTNAME,DOMAIN_NAME,APPLICATION,ROLE,LOCATION,ENVIRONMENT,TENANT,ZONE
30.0.0.0,23,30.0.0.0,network,internal.das,infra,ntwk,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.1.255,broadcast,internal.das,infra,ntwk,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.1,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.2,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.3,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.4,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.5,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.6,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.7,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.8,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.9,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.10,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.11,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.12,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.13,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.14,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.15,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.16,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.17,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.18,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.19,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.20,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.21,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.22,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.23,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.24,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.25,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.26,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.27,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.28,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.29,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.30,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.31,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.32,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.33,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.34,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.35,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.36,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.37,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.38,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.39,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.40,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
30.0.0.0,23,30.0.0.41,,,OOB,,sandboxapicdc,sbox,infra,aci-mgmt
